浴びる,あびる,"to bathe, to shower"
危ない,あぶない,dangerous
あっち,,over there
あちら,,there
上げる,あげる,to raise; to elevate; to give
赤,あか,red; crimson; scarlet​
赤い,あかい,red; crimson; scarlet​
明るい,あかるい,bright; light
開ける,あける,"to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock"
秋,あき,autumn; fall
開く,あく,"to open (e.g. doors, business, etc)"
甘い,あまい,sweet; sweet-tasting; sugary; naive; indulgent
雨,あめ,rain
飴,あめ,candy
あなた,,you
姉,あね,older sister; elder sister​
兄,あに,elder brother; older brother​
あの,,that
青,あお,blue; azure
青い,あおい,blue; azure
アパート,,apartment
洗う,あらう,to wash
あれ,,that
ある,,"to be, to have"
歩く,あるく,to walk
朝,あさ,morning
朝ご飯,あさごはん,breakfast
明後日,あさって,day after tomorrow
足,あし,foot; leg; paw; arm
明日,あした,tomorrow
遊ぶ,あそぶ,to play; to enjoy oneself
あそこ,,over there
頭,あたま,head
新しい,あたらしい,new; novel; fresh; recent; latest
暖かい,あたたかい,warm
後,あと,behind; after; remainder; left; also
暑い,あつい,hot; sultry
厚い,あつい,thick
熱い,あつい,hot
会う,あう,to meet; to encounter; to see
晩ご飯,ばんごはん,dinner; evening meal
番号,ばんごう,number
バス,,bus
バター,,butter​
ベッド,,bed
勉強,べんきょう,to study
便利,べんり,convenient; handy; useful
ボールペン,,ball-point pen
ボタン,,button
帽子,ぼうし,hat; cap
文章,ぶんしょう,sentence
豚肉,ぶたにく,pork
病院,びょういん,hospital
病気,びょうき,illness; disease; sickness
茶色,ちゃいろ,brown
茶碗,ちゃわん,rice bowl; tea cup; teacup
父,ちち,father
違う,ちがう,to differ
小さい,ちいさい,small; little; tiny
小さな,ちいさな,small; little; tiny​
近い,ちかい,near; close
地下鉄,ちかてつ,subway; underground train
地図,ちず,map
ちょっと,,a little
丁度,ちょうど,exactly
台所,だいどころ,kitchen
大学,だいがく,university; college
大丈夫,だいじょうぶ,OK; okay; alright; problem free
大好き,だいすき,love; like; like very much
だんだん,,gradually
誰,だれ,who
誰か,だれか,someone; somebody
出す,だす,to take out; to get out; to put out; to reveal
出口,でぐち,exit; gateway; way out
出かける,でかける,to go out; to leave; to depart
電気,でんき,electricity
電車,でんしゃ,train; electric train
電話,でんわ,telephone (call / device)l; phone call
デパート,,department store
出る,でる,to leave; to exit; to appear; to go out
ドア,,door
どっち,,which; which one
どちら,,which of two
どこ,,where; what place​
どなた,,who
どの,,which
どれ,,which (of three or more)​
どう,,how; in what way; how about​
動物,どうぶつ,animal
どうも,,thank you; thanks
どうぞ,,please
土曜日,どようび,Saturday
絵,え,picture
ええ,,yes; that is correct; right
映画,えいが,movie; film
映画館,えいがかん,movie theater; cinema
英語,えいご,English language
駅,えき,station
鉛筆,えんぴつ,pencil
エレベーター,,elevator
フィルム,,film
フォーク,,fork
服,ふく,clothes
吹く,ふく,to blow (of the wind)
降る,ふる,to fall
古い,ふるい,old (not used for people)
二人,ふたり,two people; pair; couple
二つ,ふたつ,two; 2
太い,ふとい,fat; thick
二日,ふつか,the second day of the month / 2 days
封筒,ふうとう,envelope
冬,ふゆ,winter
外国,がいこく,foreign country
外国人,がいこくじん,foreigner; foreign citizen; foreign national; alien; non-Japanese
学校,がっこう,school
学生,がくせい,student
玄関,げんかん,entrance
元気,げんき,lively; full of spirit; energetic; healthy
月曜日,げつようび,Monday
銀行,ぎんこう,bank
ギター,,guitar
五,ご,five; 5
午後,ごご,afternoon; p.m.
ご飯,ごはん,"cooked rice, meal"
午前,ごぜん,morning; a.m.
グラム,,gram
牛肉,ぎゅうにく,beef
牛乳,ぎゅうにゅう,(cow's) milk
歯,は,tooth
八,はち,eight: 8
葉書,はがき,postcard
母,はは,mother
はい,,yes; that is correct​
入る,はいる,to enter; to go into
灰皿,はいざら,ashtray
始まる,はじまる,to begin
初めて,はじめて,for the first time
箱,はこ,box; crate
履く,はく,"to wear, to put on trousers"
半,はん,half; semi-; half-past
花,はな,flower
鼻,はな,nose
話,はなし,talk; speech; chat; conversation​
話す,はなす,to speak; to talk; to converse
半分,はんぶん,half
ハンカチ,,handkerchief​
晴れ,はれ,clear weather
晴れる,はれる,to be sunny
春,はる,spring; springtime
貼る,はる,to stick; to paste
箸,はし,chopsticks
橋,はし,bridge
走る,はしる,to run
二十歳,はたち,20 years old; twenty years old
働く,はたらく,to work
二十日,はつか,twentieth day of the month / 20 days
速い,はやい,fast; quick; hasty; brisk
早い,はやい,fast; early
辺,へん,area
下手,へた,unskillful; poor; awkward​
部屋,へや,room
左,ひだり,left; left hand side
東,ひがし,east
飛行機,ひこうき,airplane; aircraft
引く,ひく,to pull
弾く,ひく,to play
低い,ひくい,"short,low"
暇,ひま,free time
広い,ひろい,spacious; vast; wide
昼,ひる,noon; midday; daytime; lunch
昼ご飯,ひるごはん,lunch
人,ひと,person; human
一人,ひとり,one person​; alone; single
一つ,ひとつ,one thing; only
ほか,,"other (place, thing, person); the rest"
本,ほん,book; volume; script
本棚,ほんだな,bookshelf; bookcase
